year,player,pos,college,defense_ast_tackles,defense_fum_forced,defense_fum_rec,defense_fum_tds,defense_fum_yds,defense_games,defense_int,defense_int_td,defense_int_yards,defense_loss_tackles,defense_pd,defense_sacks,defense_seasons,defense_solo_tackes,defense_tackles,passing_attempts,passing_comp_pct,passing_completions,passing_games,passing_pass_ints,passing_pass_tds,passing_pass_yards,passing_seasons,rushing_games,rushing_rec_td,rushing_rec_yards,rushing_receptions,rushing_rush_att,rushing_rush_td,rushing_rush_yds,rushing_scrim_plays,rushing_scrim_tds,rushing_scrim_yds,rushing_seasons,receiving_games,receiving_rec_td,receiving_rec_yards,receiving_receptions,receiving_rush_att,receiving_rush_td,receiving_rush_yds,receiving_scrim_plays,receiving_scrim_tds,receiving_scrim_yds,receiving_seasons,num_missing_vals
2022.0,Aaron Jackson,,Eastern Michigan,1.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,0.0,1.0,,,,10.0,,,,1.0,10.0,,,,6.0,0.0,27.0,,,,1.0,10.0,,,,,0.0,27.0,,,,1.0,0.0
2022.0,Aaron Lewis,,Rutgers,18.0,,,,,10.0,,,,3.0,0.0,2.5,1.0,12.0,30.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aaron Lewis,,UNLV,11.0,,,,,10.0,,,,1.5,1.0,0.0,1.0,31.0,42.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aaron Lowe,,Utah,1.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,2.0,3.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aaron Mclaughlin,,NC State,,,,,,10.0,,,,,,,1.0,,,,,,10.0,,,,1.0,10.0,,,,1.0,0.0,0.0,,,,1.0,10.0,,,,,0.0,0.0,,,,1.0,0.0
2022.0,Aaron Moore,,Old Dominion,,,,,,10.0,,,,,,,1.0,,,,,,10.0,,,,1.0,10.0,0.0,9.0,1.0,,,,,,,1.0,10.0,0.0,9.0,1.0,,,,,,,1.0,0.0
2022.0,Aaron Odom,,Mississippi State,12.0,,1.0,,,10.0,,,,4.0,0.0,3.0,1.0,5.0,17.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aaron Pierre,,Liberty,6.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,7.0,13.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aaron Ramseur,,East Carolina,14.0,,1.0,,,10.0,,,,4.0,0.0,1.5,1.0,27.0,41.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aaron Rodriguez,,New Mexico,,,,,,10.0,,,,,,,1.0,,,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
