playerId,player,college,category,statType,stat
4590302,Deon Silas,Iowa State,rushing,CAR,13
4242243,Keytaon Thompson,Virginia,passing,PCT,0.25
4360972,Sean Ryan,West Virginia,receiving,YDS,399
4430717,Keshawn Wicks,Old Dominion,defensive,SOLO,0
4686079,Henry Wilson,Western Michigan,defensive,PD,0
4360339,Nate Betts,Kansas,defensive,SOLO,12
4426739,Boone Bonnema,Western Michigan,defensive,TOT,12
4259268,Victor Tucker,Charlotte,receiving,TD,2
4426597,Coco Azema,Northwestern,kickReturns,NO,3
4360649,Dimitri Stanley,Colorado,fumbles,LOST,1
4242269,Charlie Kuhbander,Northwestern,kicking,PCT,0.462
4685779,Tommy Eckels,Vanderbilt,defensive,TFL,0
4429610,Daijun Edwards,Georgia,rushing,TD,3
4259166,Terrel Bernard,Baylor,defensive,TD,0
4036872,Trevor Robbins,San José State,defensive,SOLO,1
4698129,Nife Oseni,Ohio,defensive,PD,0
4373680,Maclaine Griffin,Boise State,defensive,PD,0
4608686,Kyle Monangai,Rutgers,passing,YPA,0
4427455,Cade McNamara,Michigan,passing,TD,15
4374334,Luke Zban,Marshall,passing,PCT,0.667
4363153,Tyre Shelton,Miami (OH),rushing,YPC,4.5
4369842,Trevon Flowers,Tennessee,kickReturns,LONG,15
4682909,Justin Walley,Minnesota,defensive,SACKS,0
4426651,Patrick Bayouth,Texas,defensive,QB HUR,0
4432386,AJ McCarty,Baylor,defensive,SOLO,3
-7111, Team,Pittsburgh,rushing,TD,0
4243320,Alex Cook,Washington,puntReturns,AVG,7
4372529,Alex Zettler,Texas A&M,defensive,TOT,3
-5250, Team,Arkansas State,rushing,TD,0
4427514,Aric Horne,Iowa State,defensive,PD,0
4429165,Len'Neth Whitehead,Tennessee,receiving,YPR,10
4039258,Hunter Buczkowski,Central Michigan,defensive,TD,0
4244649,Bryce Singleton,Florida International,receiving,LONG,75
4692550,Trevon West,Oklahoma,receiving,YPR,11.3
4360401,Calvin Avery,Illinois,defensive,SACKS,0.5
4432663,Dylan Betts-Pauley,Vanderbilt,rushing,YDS,0
4261623,Shane Irwin,Boise State,defensive,TFL,6
4682501,O.J. Burroughs,Kansas,defensive,TOT,26
4035912,Kwamie Lassiter II,Kansas,receiving,REC,59
4035016,Julian Rochester,Georgia,defensive,QB HUR,0
4362003,Rondell Bothroyd,Wake Forest,puntReturns,LONG,28
4243331,Cade Otton,Washington,receiving,YPR,8.9
4035466,T.J. Chase,Florida Atlantic,fumbles,LOST,1
4570184,Evan Silva,UNLV,rushing,YDS,-7
4429142,Nazir Stackhouse,Georgia,defensive,TFL,2
4683466,Jamir Roberts,UMass,fumbles,FUM,1
4244784,Keegan Cossou,Central Michigan,kickReturns,LONG,0
4430968,Kimani Vidal,Troy,receiving,REC,22
4568099,Justin Beadles,Houston,defensive,SOLO,1
4428098,Elias Neal,Marshall,interceptions,INT,1
4362365,Davis Brin,Tulsa,passing,YDS,3254
4566164,Jack Olsen,Northwestern,kicking,FGM,0
4372561,Isaac Guerendo,Wisconsin,rushing,YDS,160
4570454,Cesar Silva,Fresno State,kicking,FGM,16
4608844,Kosi Agina,Fresno State,defensive,TFL,1
4430628,Jason Vaughn,South Florida,defensive,TD,0
4241220,Akial Byers,Missouri,defensive,TD,0
4240072,C.J. Avery,Louisville,defensive,PD,5
4370803,Grant Misch,Virginia,receiving,LONG,8
4570480,James Rawls,Oregon State,defensive,TOT,24
4567545,Jayden Harrison,Marshall,receiving,YDS,254
-6294, Team,Kansas,passing,INT,0
4372565,John Torchio,Wisconsin,defensive,SACKS,0.5
4590295,Thomas Zsiros,Toledo,receiving,YPR,14.7
4373670,Dylan Herberg,Boise State,defensive,TD,1
4680023,Brandon Epton Jr.,SMU,receiving,YPR,10
4569326,Tom Hutton,Oklahoma State,punting,YDS,3056
4430582,Jerwuan Thomas,Ball State,defensive,TFL,0
4243966,Chaton Mobley,Middle Tennessee,rushing,YDS,241
4686096,Hunter Helms,Clemson,passing,COMPLETIONS,5
4892110,Jonathan Haynes,Indiana,defensive,SOLO,1
4429079,Luke Doty,South Carolina,passing,YPA,6.8
4568683,Josh Atwood,UMass,defensive,PD,0
4245579,Ja'Kerrius Wyatt,Middle Tennessee,fumbles,FUM,0
4432668,Denzel Burke,Ohio State,interceptions,YDS,0
4362344,Capone Blue,Kent State,puntReturns,LONG,0
4427596,Steve Jenkins,UNLV,fumbles,FUM,1
4429888,Jestin Jacobs,Iowa,interceptions,YDS,0
4243322,Jake Haener,Fresno State,receiving,YDS,-8
-7727, Team,UMass,fumbles,FUM,2
4429125,Gary Bryant Jr.,USC,puntReturns,TD,0
4569146,Jalen Johnson,Arizona,rushing,YDS,-6
4291782,Chase Cunningham,Middle Tennessee,passing,INT,3
4567240,Dontario Drummond,Ole Miss,rushing,LONG,11
4431533,Gabriel Rubio,Notre Dame,defensive,TFL,0
4429463,Jacolby Criswell,North Carolina,fumbles,FUM,1
4243320,Alex Cook,Washington,defensive,TFL,1
-6368, Team,Louisiana Monroe,passing,COMPLETIONS,0
4608871,Aakil Washington,Liberty,defensive,TD,0
4431035,Gavin Williams,Iowa,fumbles,LOST,0
4361825,Spencer Sanders,Oklahoma State,passing,YDS,2839
4241008,Shaun Jolly,Appalachian State,interceptions,INT,1
4431618,Mario Williams,Oklahoma,receiving,YPR,10.9
4600403,Braylon Braxton,Tulsa,rushing,LONG,15
4684084,Keli Lawson,Virginia Tech,defensive,SACKS,0
4368768,DJ Irons,Akron,fumbles,LOST,3
4239769,Grayson Cash,UAB,interceptions,TD,1
4362467,Gabe Wallace,Buffalo,defensive,SOLO,0
4405861,Tevye Schuettpelz-Rohl,Air Force,kicking,PTS,2
4379399,James Cook,Georgia,rushing,YDS,728
4428169,Caleb Oppan,Duke,defensive,SACKS,0.5
4373938,Kai Kaneshiro,Hawai'i,defensive,TOT,48
4361101,Jackson Sirmon,Washington,defensive,TFL,4
4690873,Al Walcott,Baylor,defensive,TFL,1
4240259,Amaud Willis-Dalton,Houston,fumbles,FUM,0
4372412,Tylan Knight,Ole Miss,defensive,TOT,37
4430388,DeWayne McBride,UAB,receiving,TD,0
4373661,Andrew Van Buren,Boise State,receiving,YDS,28
4880734,Jakarius Caston,Southern Mississippi,passing,TD,0
4374105,John Richardson,Northern Illinois,kicking,LONG,47
4570557,Khalique Washington,Southern Mississippi,defensive,SOLO,1
4431338,Ahmari Huggins-Bruce,Louisville,rushing,YPC,7.5
4430173,Taylor Milton,New Mexico State,defensive,TOT,9
4428732,Sean Tyler,Western Michigan,defensive,TFL,0
4373929,Timothy Moulton,UMass,defensive,SACKS,0
4431204,Kyle King,Penn State,defensive,SACKS,0
4043608,Garet Morrell,Marshall,defensive,QB HUR,0
4240434,Ja'Sir Taylor,Wake Forest,kickReturns,TD,1
4429632,Konner Fox,Kansas State,receiving,YPR,3
4360163,Austin Aune,North Texas,rushing,TD,3
4362421,Alec Holler,UCF,kickReturns,NO,1
4433856,Tramel Logan Jr.,South Florida,defensive,TOT,15
4430897,Alex Adams,LSU,receiving,LONG,5
4690171,Deane Leonard,Ole Miss,defensive,PD,6
4875568,Alesandro Maxwell,Air Force,defensive,SOLO,1
4703799,DJ Johnson,Illinois,defensive,SACKS,0
4685778,Michael Spencer,Vanderbilt,defensive,QB HUR,0
4429053,A.J. Henning,Michigan,rushing,YDS,162
4373766,Zach Harding,Army,punting,YDS,1676
4591750,Isaiah Cashwell,Miami,rushing,LONG,5
4427673,Calijah Kancey,Pittsburgh,defensive,TD,0
